iter	Passed	Remaining
0	170	170215
1	185	92325
2	196	65441
3	216	53870
4	232	46180
5	249	41251
6	269	38281
7	299	37158
8	565	62217
9	645	63890
10	697	62740
11	779	64160
12	832	63237
13	898	63304
14	944	61991
15	993	61129
16	1046	60503
17	1091	59542
18	1144	59079
19	1173	57487
20	1198	55889
21	1224	54454
22	1252	53200
23	1272	51735
24	1290	50310
25	1308	49019
26	1325	47751
27	1351	46928
28	1369	45839
29	1386	44843
30	1402	43827
31	1417	42886
32	1433	42014
33	1448	41164
34	1459	40248
35	1476	39528
36	1501	39073
37	1518	38432
38	1535	37832
39	1551	37224
40	1573	36798
41	1591	36292
42	1607	35775
43	1624	35287
44	1641	34831
45	1655	34328
46	1669	33856
47	1686	33443
48	1700	33010
49	1714	32571
50	1728	32155
51	1738	31698
52	1752	31311
53	1767	30958
54	1792	30802
55	1809	30506
56	1827	30226
57	1843	29947
58	1858	29644
59	1883	29513
60	1898	29231
61	1912	28938
62	1927	28660
63	1937	28341
64	1952	28079
65	1964	27799
66	1978	27549
67	1993	27318
68	2008	27094
69	2018	26818
70	2031	26587
71	2043	26342
72	2056	26109
73	2066	25860
74	2079	25645
75	2095	25471
76	2108	25278
77	2123	25100
78	2134	24880
79	2145	24675
80	2157	24482
81	2168	24274
82	2179	24084
83	2192	23910
84	2206	23753
85	2220	23603
86	2231	23414
87	2243	23251
88	2255	23087
89	2267	22926
90	2279	22765
91	2291	22612
92	2309	22522
93	2326	22427
94	2345	22343
95	2361	22241
96	2379	22147
97	2396	22056
98	2412	21953
99	2430	21873
100	2449	21803
101	2463	21690
102	2475	21560
103	2488	21438
104	2500	21315
105	2513	21201
106	2526	21084
107	2538	20970
108	2550	20850
109	2562	20735
110	2574	20617
111	2586	20505
112	2598	20393
113	2608	20272
114	2621	20172
115	2636	20089
116	2650	19999
117	2663	19904
118	2673	19791
119	2689	19723
120	2701	19624
121	2714	19538
122	2726	19439
123	2738	19348
124	2751	19263
125	2765	19185
126	2778	19099
127	2789	19000
128	2800	18909
129	2815	18845
130	2828	18761
131	2838	18666
132	2851	18587
133	2864	18512
134	2877	18434
135	2887	18344
136	2900	18270
137	2913	18201
